time	V(shifted)
4.297928994549613e-002	7.706634e-001
4.396242024371969e-002	7.753532e-001
4.498234835359163e-002	7.749251e-001
4.500000000000000e-002	7.748386e-001
4.501491430104837e-002	7.747263e-001
4.504474290314511e-002	7.744958e-001
4.510440010733860e-002	7.740063e-001
4.522371451572557e-002	7.729229e-001
4.546234333249952e-002	7.704293e-001
4.593960096604740e-002	7.647395e-001
4.689411623314317e-002	7.530845e-001
4.799479453727133e-002	7.405774e-001
4.800000000000000e-002	7.405263e-001
4.800849539004348e-002	7.404524e-001
4.802548617013043e-002	7.403058e-001
4.805490706798070e-002	7.400565e-001
4.811374886368124e-002	7.395750e-001
4.823143245508230e-002	7.386776e-001
4.846679963788445e-002	7.371250e-001
4.893753400348872e-002	7.348385e-001
4.987900273469728e-002	7.322925e-001
5.100000000000000e-002	7.310978e-001
5.102150677575934e-002	7.311093e-001
5.106452032727803e-002	7.311345e-001
5.115054743031541e-002	7.311994e-001
5.132260163639018e-002	7.314166e-001
5.166671004853971e-002	7.323923e-001
5.235492687283876e-002	7.368159e-001
5.326214660719236e-002	7.478204e-001
5.400000000000000e-002	7.609062e-001
5.402013053696955e-002	7.613972e-001
5.406039161090864e-002	7.623920e-001
5.414091375878682e-002	7.644374e-001
5.430195805454318e-002	7.687053e-001
5.462404664605590e-002	7.775835e-001
5.526822382908134e-002	7.951826e-001
5.600680439411825e-002	8.127832e-001
5.691930608771685e-002	8.301151e-001
5.700000000000000e-002	8.312675e-001
5.700425476109879e-002	8.313141e-001
5.701276428329635e-002	8.314064e-001
5.702978332769148e-002	8.315874e-001
5.706382141648173e-002	8.319348e-001
5.713189759406224e-002	8.325733e-001
5.726804994922325e-002	8.336428e-001
5.754035465954528e-002	8.350803e-001
5.808496408018934e-002	8.361121e-001
5.894563098534367e-002	8.351904e-001
5.968517437615343e-002	8.331703e-001
6.000000000000000e-002	8.321666e-001
6.001584121158896e-002	8.321206e-001
6.004752363476687e-002	8.320299e-001
6.011088848112271e-002	8.318537e-001
6.023761817383437e-002	8.315151e-001
6.049107755925770e-002	8.308383e-001
6.099799633010436e-002	8.291375e-001
6.200453455455351e-002	8.238362e-001
6.300000000000000e-002	8.163321e-001
6.305832147316742e-002	8.156720e-001
6.317496441950228e-002	8.143126e-001
6.340825031217198e-002	8.114744e-001
6.387482209751140e-002	8.057832e-001
6.463660025802004e-002	7.975231e-001
6.544762989378711e-002	7.911197e-001
6.600000000000000e-002	7.885345e-001
6.602889201552785e-002	7.885118e-001
6.608667604658354e-002	7.884859e-001
6.620224410869492e-002	7.885233e-001
6.643338023291769e-002	7.889050e-001
6.689565248136321e-002	7.904376e-001
6.753633727559473e-002	7.934722e-001
6.817606794573579e-002	7.968904e-001
6.890443684269756e-002	8.006707e-001
6.900000000000001e-002	8.011179e-001
6.907881179911447e-002	8.014283e-001
6.923643539734339e-002	8.019937e-001
6.955168259380125e-002	8.028297e-001
7.018217698671696e-002	8.032560e-001
7.130390597460033e-002	8.011248e-001
7.200000000000000e-002	7.981775e-001
7.211212601533631e-002	7.973764e-001
7.233637804600897e-002	7.956655e-001
7.278488210735427e-002	7.918423e-001
7.368189023004489e-002	7.834274e-001
7.488431343616167e-002	7.716379e-001
7.500000000000000e-002	7.704998e-001
7.503278834105862e-002	7.701823e-001
7.509836502317584e-002	7.695500e-001
7.522951838741029e-002	7.682965e-001
7.549182511587919e-002	7.658215e-001
7.601643857281701e-002	7.609031e-001
7.706566548669262e-002	7.509131e-001
7.800000000000000e-002	7.417555e-001
7.809351563602772e-002	7.407865e-001
7.828054690808316e-002	7.388659e-001
7.865460945219402e-002	7.352820e-001
7.940273454041574e-002	7.296391e-001
8.034886884383165e-002	7.257326e-001
8.100000000000000e-002	7.253175e-001
8.100921424173999e-002	7.253479e-001
8.102764272521996e-002	7.254105e-001
8.113821362609984e-002	7.258435e-001
8.128564149393966e-002	7.265448e-001
8.158049722961930e-002	7.281849e-001
8.217020870097858e-002	7.315688e-001
8.293298968909882e-002	7.349063e-001
8.367834982315298e-002	7.362057e-001
8.400000000000001e-002	7.358807e-001
8.403763955980484e-002	7.357320e-001
8.411291867941452e-002	7.354047e-001
8.426347691863388e-002	7.346253e-001
8.456459339707259e-002	7.327424e-001
8.516682635395001e-002	7.286743e-001
8.599333649490902e-002	7.239991e-001
8.677529705701505e-002	7.214054e-001
8.699999999999999e-002	7.212381e-001
8.700661494439950e-002	7.212478e-001
8.701984483319852e-002	7.212682e-001
8.704630461079657e-002	7.213141e-001
8.709922416599265e-002	7.214246e-001
8.720506327638482e-002	7.217128e-001
8.741674149716916e-002	7.224951e-001
8.784009793873783e-002	7.244585e-001
8.868681082187517e-002	7.283946e-001
8.950977626968878e-002	7.310836e-001
9.000000000000000e-002	7.317203e-001
9.004694839357691e-002	7.316534e-001
9.014084518073075e-002	7.314857e-001
9.032863875503842e-002	7.310294e-001
9.060444975045279e-002	7.301531e-001
9.115607174128151e-002	7.282208e-001
9.185836751060317e-002	7.262892e-001
9.255668796165872e-002	7.256487e-001
9.300000000000000e-002	7.261302e-001
9.300436254052585e-002	7.261446e-001
9.301308762157756e-002	7.261735e-001
9.303053778368098e-002	7.262330e-001
9.306479872924495e-002	7.263561e-001
9.313332062037288e-002	7.266247e-001
9.327036440262877e-002	7.272335e-001
9.354445196714054e-002	7.286044e-001
9.409262709616408e-002	7.313255e-001
9.480665780259141e-002	7.338769e-001
9.549426280259843e-002	7.343619e-001
9.600000000000000e-002	7.332153e-001
9.608614084579172e-002	7.326608e-001
9.625842253737513e-002	7.313884e-001
9.660298592054196e-002	7.281621e-001
9.729211268687564e-002	7.197968e-001
9.867036621954298e-002	7.000478e-001
9.900000000000001e-002	6.949040e-001
9.915426790792417e-002	6.924155e-001
9.946280372377250e-002	6.875400e-001
1.000536776579398e-001	6.789999e-001
1.012354255262744e-001	6.646667e-001
1.020000000000000e-001	6.572825e-001
1.021024066667364e-001	6.566693e-001
1.023072200002091e-001	6.555680e-001
1.027168466671546e-001	6.538321e-001
1.034675149892227e-001	6.515519e-001
1.041978169601829e-001	6.499411e-001
1.046984586444244e-001	6.490152e-001
1.050000000000000e-001	6.484608e-001
1.050643511131604e-001	6.483328e-001
1.051930533394812e-001	6.480755e-001
1.054504577921227e-001	6.475707e-001
1.057637786291279e-001	6.470490e-001
1.063904203031383e-001	6.465017e-001
1.071477995999063e-001	6.470172e-001
